TF	Gene	rank
FBgn0267792	FBgn0032814	697
FBgn0004893	FBgn0004914	698
FBgn0030432	FBgn0004914	699
FBgn0015371	FBgn0001185	700
FBgn0020912	FBgn0033185	701
FBgn0262937	FBgn0037923	702
FBgn0005659	FBgn0030432	703
FBgn0016076	FBgn0031610	704
FBgn0030432	FBgn0262636	705
FBgn0278608	FBgn0026575	706
FBgn0033010	FBgn0037877	707
FBgn0005659	FBgn0035702	708
FBgn0085450	FBgn0030432	709
FBgn0004893	FBgn0001978	710
FBgn0259176	FBgn0037634	711
FBgn0015602	FBgn0036126	712
FBgn0029895	FBgn0041092	713
FBgn0020912	FBgn0030963	714
FBgn0259176	FBgn0037619	715
FBgn0026869	FBgn0262975	716
FBgn0002609	FBgn0002609	717
FBgn0037717	FBgn0039860	718
FBgn0278608	FBgn0010825	719
FBgn0015602	FBgn0001185	720
FBgn0038805	FBgn0267978	721
FBgn0014343	FBgn0032130	722
FBgn0002723	FBgn0030990	723
FBgn0042696	FBgn0019650	724
FBgn0020912	FBgn0034643	725
FBgn0005659	FBgn0036661	726
FBgn0015602	FBgn0010328	727
FBgn0011655	FBgn0036522	728
FBgn0038244	FBgn0037446	729
FBgn0000575	FBgn0032321	730
FBgn0042696	FBgn0025525	731
FBgn0000659	FBgn0013469	732
FBgn0013263	FBgn0039209	733
FBgn0262160	FBgn0031232	734
FBgn0011655	FBgn0032512	735
FBgn0038244	FBgn0037120	736
FBgn0011274	FBgn0030012	737
FBgn0000504	FBgn0031144	738
FBgn0003866	FBgn0033762	739
FBgn0011655	FBgn0036004	740
FBgn0261963	FBgn0029867	741
FBgn0028550	FBgn0037620	742
FBgn0015903	FBgn0041092	743
FBgn0020309	FBgn0037634	744
FBgn0033010	FBgn0033491	745
FBgn0002723	FBgn0035849	746
FBgn0029824	FBgn0031144	747
FBgn0259789	FBgn0029905	748
FBgn0000504	FBgn0003651	749
FBgn0042696	FBgn0030990	750
FBgn0261963	FBgn0003567	751
FBgn0013263	FBgn0262160	752
FBgn0003118	FBgn0038768	753
FBgn0278608	FBgn0036124	754
FBgn0019650	FBgn0029824	755
FBgn0000504	FBgn0262160	756
FBgn0052264	FBgn0262937	757
FBgn0026869	FBgn0041092	758
FBgn0259176	FBgn0033491	759
FBgn0014343	FBgn0031759	760
FBgn0033010	FBgn0002723	761
FBgn0024244	FBgn0285879	762
FBgn0036152	FBgn0267821	763
FBgn0036152	FBgn0000520	764
FBgn0032815	FBgn0035769	765
FBgn0003866	FBgn0039860	766
FBgn0001180	FBgn0005694	767
FBgn0038244	FBgn0030990	768
FBgn0027339	FBgn0034534	769
FBgn0023094	FBgn0003598	770
FBgn0020912	FBgn0037634	771
FBgn0265784	FBgn0030206	772
FBgn0020912	FBgn0030314	773
FBgn0020309	FBgn0040929	774
