"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
160	0,2641761	0,9668197	0,6358681	1,0244139	0,0247635	0,4992753	0,8376026	0,0829600	0,4234733	0,8101714	0,8247951	0,1236430	0,5162490	0,8304586	0,9381687	0,1318672
180	0,2576079	0,9836803	0,6669908	1,0112958	0,0273851	0,5506068	0,8750170	0,0771979	0,4149507	0,8247962	0,9102653	0,1452321	0,5451441	0,8513825	0,9420805	0,1475863
200	0,2624883	0,9626184	0,6923747	0,9456138	0,0184527	0,5811162	0,8716531	0,0563249	0,4128487	0,8087044	0,8853179	0,1563815	0,5410997	0,8785130	1,0217588	0,1524208
220	0,3045255	0,9574369	0,6949821	0,9670238	0,0329003	0,5442454	0,8494777	0,0542298	0,4563157	0,7849854	0,8523830	0,1568583	0,5999166	0,8505879	1,0229735	0,1526429
240	0,3292897	0,9855434	0,7100917	0,9619249	0,0239355	0,5187807	0,8667843	0,0472587	0,4442466	0,7892535	0,8573905	0,1971302	0,5945185	0,8708444	0,9348288	0,1591318
260	0,2818341	1,0280623	0,6577919	0,9176002	0,0377287	0,5044888	0,8040073	0,0700530	0,4523179	0,7846826	0,8394373	0,1618696	0,5910982	0,8372152	0,9620123	0,1337792
280	0,3104833	1,0247782	0,6317989	0,9842679	0,0285331	0,5753166	0,8178144	0,0766229	0,4008161	0,7756190	0,7878349	0,1528151	0,5426832	0,7961090	1,0025199	0,1690632
300	0,2801229	1,0226251	0,6078679	1,0522984	0,0367551	0,5642324	0,8794389	0,0919464	0,3755403	0,8472302	0,8512208	0,1674145	0,5539696	0,8099024	0,9505391	0,1576862
320	0,2758147	1,0036336	0,6761066	0,9689570	0,0175141	0,5377994	0,8492948	0,0759969	0,4229613	0,8756753	0,8802306	0,1818304	0,5346198	0,8858097	0,9761125	0,1683109
340	0,2476955	1,0596969	0,6858286	0,9212808	0,0135314	0,5138316	0,8492432	0,0713933	0,3895072	0,9329430	0,8076816	0,1712537	0,5945543	0,8085091	0,9868042	0,1919014
360	0,2231490	1,1243559	0,6514329	0,9931757	0,0187972	0,5232199	0,9275712	0,0650101	0,3941196	0,9626440	0,8377145	0,1815882	0,6153004	0,8222657	1,0848133	0,1647133
380	0,2128261	1,0964998	0,6184756	1,0257144	0,0239338	0,5186561	0,8944260	0,0535736	0,4254042	0,8225294	0,8823156	0,1605468	0,6364549	0,8869037	1,0661540	0,1607708
400	0,2578116	1,0720916	0,6318559	1,0155933	0,0216304	0,5049658	0,8658385	0,0579263	0,4207991	0,7654895	0,8630651	0,1469281	0,5966878	0,8889210	1,0881213	0,1414947
420	0,2646496	1,0827035	0,6745905	1,0160544	0,0232577	0,5386804	0,8520795	0,0514758	0,4000544	0,8219663	0,8694715	0,1489860	0,5729656	0,8667217	0,9529632	0,1640241
440	0,3077838	1,1001315	0,6840588	1,0614602	0,0207583	0,5510486	0,8174043	0,0486422	0,4378594	0,8783196	0,8886658	0,1372277	0,6306092	0,8401306	0,9678855	0,1608549
460	0,2994260	1,0931624	0,6245580	0,9825163	0,0336972	0,5936867	0,8632614	0,0644180	0,4549953	0,7974016	0,9506264	0,1396170	0,6108368	0,8527153	0,9585291	0,1891707
480	0,2763267	1,1156006	0,6287633	0,9963786	0,0237548	0,5926359	0,8935655	0,0606234	0,4238430	0,8298540	0,9209684	0,1573330	0,6099484	0,7881030	0,9839135	0,1709412
