"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
0	0,9966747	0,4498471	0,5764659	0,1306423	0,1335353	0,7998889	0,9767779	0,7138276	0,7222111	0,4361975	0,8811459	0,4369278	0,4351464	0,3444510	0,4379033	0,0294103
20	1,0096884	0,4256089	0,5986363	0,0855124	0,1460193	0,7604568	0,6241700	0,6194601	0,6758173	0,4009204	0,8557670	0,1845787	0,3715716	0,2941347	0,4283158	0,0443193
40	1,0540235	0,4383563	0,6894301	0,1098732	0,1454617	0,7739645	0,4346866	0,6084617	0,7317081	0,4041272	0,8833743	0,1066378	0,3224843	0,2834233	0,4234418	0,0243838
60	1,0259454	0,3834324	0,6798337	0,1853605	0,1422027	0,7662448	0,3120554	0,6392256	0,7354082	0,3800671	0,8982538	0,0534541	0,2874922	0,2502102	0,4234174	0,0278643
80	1,0381461	0,3274271	0,6118682	0,1023790	0,1418296	0,7965739	0,2348286	0,5932935	0,6981996	0,3782046	0,8379271	0,0311779	0,2517364	0,2749524	0,4044362	0,0469128
100	0,9807553	0,3732830	0,6252494	0,1166435	0,1317856	0,7855785	0,1838560	0,6109646	0,6881712	0,3982389	0,8291644	0,0233216	0,2206475	0,2313094	0,4275681	0,0406876
120	0,9552277	0,3671326	0,5372183	0,1322352	0,1269367	0,7830411	0,1477736	0,6327018	0,7577010	0,4268725	0,8678705	0,0117247	0,2257123	0,2713153	0,4021742	0,0268557
140	0,9522357	0,3555260	0,5318956	0,1497630	0,1381609	0,7923792	0,1055346	0,6779098	0,7336554	0,3970602	0,8254954	0,0020415	0,1876638	0,2410457	0,3631773	0,0291081
160	0,9762117	0,3878604	0,5234659	0,1400317	0,1343916	0,7544533	0,0796219	0,6247134	0,7640743	0,4158560	0,8349595	0,0064241	0,1821236	0,2428202	0,3606370	0,0173863
180	1,0105106	0,4402034	0,5128622	0,1422327	0,1476205	0,7136270	0,0640822	0,6976105	0,7967139	0,4390263	0,8939731	0,0120450	0,1653965	0,2060274	0,3436111	0,0278319
200	0,9959187	0,3999143	0,6108975	0,1774317	0,1524258	0,7503668	0,0410038	0,7106932	0,7190061	0,4272188	0,8767083	0,0218488	0,1458662	0,3125444	0,3666942	0,0240988
220	1,0658650	0,4102392	0,5965848	0,1339497	0,1346058	0,7425629	0,0225635	0,7447861	0,7516212	0,3909573	0,8554396	0,0128455	0,1579671	0,2808605	0,3774739	0,0336103
240	1,0356725	0,3925136	0,5001768	0,1517889	0,1419722	0,7757135	0,0178464	0,7768888	0,6969169	0,4007477	0,7286259	0,0122177	0,1560283	0,2438579	0,3789221	0,0375831
260	1,0262546	0,3789805	0,5345028	0,1121431	0,1214364	0,7550771	0,0080837	0,7123901	0,6578627	0,4020588	0,8045553	0,0053214	0,1394827	0,2579566	0,3686840	0,0239561
280	0,9708075	0,4088652	0,5598562	0,1153396	0,1213418	0,7813843	0,0153025	0,6770305	0,6058043	0,3923271	0,8819137	0,0094643	0,1349931	0,2300118	0,3983134	0,0322268
300	1,0074983	0,3876980	0,6305914	0,1552288	0,1125831	0,8349509	0,0244053	0,6741185	0,6636296	0,3802781	0,8684526	0,0099530	0,1336474	0,2786896	0,4376951	0,0370725
320	1,0535506	0,3777209	0,6243452	0,1436426	0,0984860	0,7974380	0,0205324	0,6997443	0,6803149	0,3942852	0,8841366	0,0129732	0,1503946	0,3037493	0,4322198	0,0440102
340	1,1078014	0,4284954	0,6246633	0,1154221	0,1415614	0,7840133	0,0216114	0,7444259	0,6740584	0,4113194	0,8980844	0,0205476	0,1329488	0,3022606	0,4316784	0,0261399
360	1,0976460	0,4564825	0,6215766	0,1023957	0,1402886	0,7973638	0,0194533	0,6337037	0,7103421	0,4384757	0,8635381	0,0087195	0,1529512	0,3335153	0,4459405	0,0253037
380	1,0918814	0,4506685	0,5930440	0,1337569	0,1287579	0,7780126	0,0222786	0,6422083	0,6752521	0,4582633	0,8392285	0,0090908	0,1728911	0,3489092	0,4414910	0,0270381
400	1,0498942	0,3870375	0,6076264	0,1108943	0,1122597	0,7698704	0,0186664	0,6998786	0,6373210	0,4320506	0,7983491	0,0112679	0,1989079	0,2818558	0,4324148	0,0364714
420	1,0128970	0,3724315	0,6410457	0,1345604	0,1146530	0,7738572	0,0128364	0,6785944	0,6691498	0,4160119	0,8509709	0,0072175	0,2228660	0,2737686	0,4108664	0,0289079
440	1,0040961	0,3198177	0,6676099	0,1026747	0,1160791	0,7856624	0,0156835	0,6905268	0,6867642	0,3602354	0,8567998	0,0050354	0,2490184	0,3257721	0,4077310	0,0261516
460	0,9717125	0,3820350	0,6434978	0,0959810	0,1172908	0,8047992	0,0168529	0,7100643	0,6864258	0,3656058	0,8278473	0,0148243	0,2192136	0,3130596	0,3954487	0,0391033
480	0,9559768	0,3702395	0,6129624	0,1428576	0,1428709	0,7473515	0,0210874	0,6684768	0,6988441	0,3786820	0,8178766	0,0170168	0,2176556	0,2908923	0,4240694	0,0394819
500	0,9096646	0,4080019	0,6400257	0,1241747	0,1417639	0,7285265	0,0217762	0,6358274	0,6586717	0,3660592	0,8416657	0,0205106	0,1656927	0,3032821	0,4381389	0,0434136
