"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
200	0,0001319	0,5226741	0,4084919	0,1209677	0,1328226	0,2281079	0,0047474	0,0254774	0,2035696	0,3755425	0,3579401	0,6152717	0,0039471	0,0198488	0,3632596	0,6268677
220	0,0042604	0,5294090	0,4098308	0,1748159	0,1261992	0,3028060	0,0332651	0,0270377	0,2126420	0,4336387	0,2725254	0,6353943	0,0138551	0,0134464	0,4177768	0,6381799
240	0,0007759	0,4899784	0,3581386	0,1470557	0,1074397	0,2176885	0,0164821	0,0186862	0,2721326	0,3966072	0,2805940	0,6368142	0,0137599	0,0127516	0,4641579	0,6673771
260	0,0050035	0,5218434	0,3843890	0,1735129	0,1051784	0,2470385	0,0294769	0,0267565	0,2225348	0,3336625	0,2820219	0,6532464	0,0264693	0,0081467	0,4925142	0,5919594
280	0,0070430	0,4829079	0,3803172	0,1403534	0,1608020	0,3321799	0,0122811	0,0363708	0,2290874	0,4405960	0,2163824	0,6683639	0,0100096	0,0019211	0,3865124	0,5934479
300	0,0000422	0,6268581	0,4219828	0,2190791	0,1565249	0,3133789	0,0132482	0,0119960	0,2075447	0,3604924	0,2546428	0,6081091	0,0186552	0,0092547	0,4124628	0,6283335
320	0,0005205	0,4949895	0,5150166	0,1627711	0,1449747	0,3772304	0,0179780	0,0452625	0,1707098	0,3321796	0,2415343	0,6076963	0,0076308	0,0115346	0,5230252	0,5858319
340	0,0018679	0,5737566	0,3222774	0,1851410	0,1438084	0,3109068	0,0136959	0,0144496	0,1764740	0,4249672	0,2879506	0,6369998	0,0377062	0,0209379	0,3687496	0,6929792
360	0,0020145	0,4361940	0,3601719	0,1926627	0,1140572	0,3654926	0,0202503	0,0237198	0,2968181	0,4702063	0,2407236	0,7287004	0,0405929	0,0362626	0,5759105	0,5881706
380	0,0021209	0,5031244	0,3470748	0,1970776	0,1205139	0,2342667	0,0218092	0,0189593	0,2064966	0,4153184	0,2395149	0,6517597	0,0288305	0,0425529	0,4821606	0,6616648
400	0,0000199	0,7036441	0,3186901	0,1288724	0,1320228	0,2342833	0,0103871	0,0122964	0,2876896	0,3260435	0,3180809	0,7868130	0,0125212	0,0330148	0,4780160	0,5949929
420	0,0002380	0,6338094	0,3691978	0,1466266	0,1602344	0,3088121	0,0236744	0,0472740	0,2456014	0,3890926	0,3222762	0,6751518	0,0087629	0,0380354	0,5111523	0,6155868
440	0,0010259	0,4653890	0,2993714	0,1748127	0,1551320	0,3206493	0,0160249	0,0149896	0,2487350	0,3862862	0,2649505	0,6277398	0,0043357	0,0362794	0,5435749	0,8591083
460	0,0010571	0,4794044	0,3684765	0,2110235	0,1341445	0,3315814	0,0230436	0,0258247	0,2677342	0,2857330	0,3486674	0,7645254	0,0135066	0,0511692	0,4988651	0,6951050
