"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
300	0,2583787	0,9935980	0,6700287	0,9758574	0,0212108	0,5674033	0,8562170	0,0746653	0,4200956	0,8380536	0,8400986	0,1516276	0,5937609	0,8534953	0,9967179	0,1553054
320	0,2583361	0,9941284	0,6700287	0,9758730	0,0212108	0,5674803	0,8564222	0,0747451	0,4200956	0,8380560	0,8401761	0,1515744	0,5937609	0,8534953	0,9967202	0,1553054
340	0,2583127	0,9944585	0,6700287	0,9758836	0,0212108	0,5675259	0,8565531	0,0747999	0,4200956	0,8380571	0,8402203	0,1515439	0,5937609	0,8534953	0,9967217	0,1553054
360	0,2582999	0,9946624	0,6700287	0,9758908	0,0212108	0,5675529	0,8566365	0,0748377	0,4200956	0,8380577	0,8402455	0,1515263	0,5937609	0,8534953	0,9967227	0,1553054
380	0,2582929	0,9947872	0,6700287	0,9758957	0,0212108	0,5675689	0,8566897	0,0748637	0,4200956	0,8380579	0,8402599	0,1515162	0,5937609	0,8534953	0,9967234	0,1553054
400	0,2582891	0,9948629	0,6700287	0,9758990	0,0212108	0,5675785	0,8567236	0,0748815	0,4200956	0,8380580	0,8402680	0,1515104	0,5937609	0,8534953	0,9967238	0,1553054
420	0,2582870	0,9949082	0,6700287	0,9759013	0,0212108	0,5675841	0,8567453	0,0748938	0,4200956	0,8380581	0,8402727	0,1515071	0,5937609	0,8534953	0,9967241	0,1553054
440	0,2582858	0,9949349	0,6700287	0,9759028	0,0212108	0,5675874	0,8567591	0,0749023	0,4200956	0,8380581	0,8402754	0,1515052	0,5937609	0,8534953	0,9967243	0,1553054
460	0,2582852	0,9949503	0,6700287	0,9759039	0,0212108	0,5675894	0,8567678	0,0749081	0,4200956	0,8380581	0,8402769	0,1515041	0,5937609	0,8534953	0,9967244	0,1553054
480	0,2582849	0,9949590	0,6700287	0,9759046	0,0212108	0,5675906	0,8567735	0,0749121	0,4200956	0,8380581	0,8402777	0,1515034	0,5937609	0,8534953	0,9967245	0,1553054
