"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
160	0,8948450	0,3370623	0,1868156	0,5768104	0,1826651	0,3676813	0,7707807	0,4464458	0,1947391	0,1416824	0,1478192	0,0021808	0,2613889	0,1176086	0,1790820	0,0186956
180	0,7611885	0,4043517	0,1518662	0,6945123	0,2437671	0,2434030	0,5239908	0,5336088	0,2266276	0,0709350	0,1774646	0,0064410	0,2657543	0,1006633	0,1582598	0,0192016
200	0,8238024	0,4317192	0,1675503	0,6945795	0,2033609	0,3705876	0,6457920	0,5838858	0,1904406	0,0607959	0,1385583	0,0218613	0,2584008	0,1655521	0,1324623	0,0543513
220	0,7947067	0,3834557	0,2075634	0,7118673	0,1823148	0,3132079	0,6924394	0,6200301	0,1529405	0,0873488	0,1533861	0,0157422	0,2691352	0,0846167	0,0831541	0,0114053
240	0,9153416	0,2832175	0,1086729	0,8770073	0,2292658	0,3104746	0,7501482	0,6209514	0,2218345	0,0703116	0,1569859	0,0123080	0,2679081	0,1231490	0,1179416	0,0104175
260	0,8703699	0,3488089	0,1931350	0,8648570	0,2782115	0,3532725	0,5628252	0,5961145	0,2399812	0,0321476	0,1137099	0,0215727	0,3155726	0,1113065	0,1282045	0,0043375
280	0,8148144	0,3250191	0,1236808	0,7260342	0,2729776	0,3628897	0,6525990	0,6362679	0,2472828	0,0397869	0,1949778	0,0656795	0,2063939	0,1389927	0,1331323	0,0141170
300	0,8080812	0,4334732	0,2024141	0,7253690	0,3153326	0,2941925	0,6244720	0,5308084	0,2108911	0,1175474	0,1084199	0,0817898	0,2530758	0,1422687	0,1655123	0,0354828
320	0,7786172	0,3364921	0,1925764	0,6298135	0,2203159	0,2718419	0,5867401	0,4057956	0,1781918	0,0977419	0,1375518	0,0407312	0,2846116	0,1225460	0,1581452	0,0185547
340	0,7502700	0,2778991	0,2087554	0,8296480	0,2061682	0,2135151	0,6423475	0,4308824	0,2539035	0,0648867	0,1066120	0,0200903	0,2814465	0,0774522	0,1266775	0,0271854
