"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
900	0,7414044	0,9335908	0,6123810	0,9770343	0,9007040	0,5901615	0,7871702	0,5210578	0,7927129	0,5191676	0,5597771	0,4592160	0,7448106	0,0402913	0,6701196	0,5685700
920	0,7599185	0,8967095	0,6074211	1,0194391	0,8945696	0,6004928	0,7553839	0,5198957	0,7860784	0,4628237	0,5715140	0,5254186	0,7308500	0,0428444	0,6245379	0,5281179
940	0,7849910	0,8751304	0,6308306	0,9327656	0,8663015	0,6041900	0,6989195	0,5044722	0,7758717	0,5045392	0,5822716	0,5569387	0,6769464	0,0259247	0,5420130	0,5441085
960	0,8328079	0,8868557	0,6626997	0,9446932	0,8701784	0,5753361	0,6830997	0,5392041	0,7830051	0,5001380	0,6024819	0,5932835	0,8403176	0,0363899	0,6256474	0,5299387
980	0,7533356	0,8821534	0,6743818	1,0033624	0,9131420	0,5475981	0,6801712	0,5893881	0,8660441	0,5540646	0,6461660	0,5508807	0,7614961	0,0234974	0,6287506	0,5247848
1000	0,7954479	0,8604410	0,6836055	1,0167530	0,9370903	0,5165573	0,6810117	0,5895717	0,8632343	0,5297149	0,6731182	0,5517208	0,7500472	0,0380480	0,6369160	0,4843188
1020	0,7791193	0,8681216	0,6149913	1,0061242	0,8283578	0,5610952	0,7466633	0,6003441	0,8756803	0,5054206	0,7138980	0,5640201	0,7524774	0,0467270	0,5827427	0,5279550
1040	0,7698043	0,8034506	0,6302280	0,9432036	0,8058325	0,5861980	0,8209955	0,5724054	0,8761523	0,4933146	0,7127287	0,5628137	0,7304814	0,0512464	0,6387812	0,4448586
1060	0,7732313	0,8114028	0,5647298	0,9155622	0,8773135	0,5854583	0,7940190	0,5152156	0,9123599	0,5072687	0,7218315	0,5562492	0,8401993	0,0494700	0,6045950	0,3936184
1080	0,8321153	0,8118151	0,6589890	0,9413706	0,8756352	0,6239675	0,8380573	0,5405986	0,8375224	0,5970503	0,7609826	0,5647498	0,7666342	0,0444982	0,5783924	0,4453544
1100	0,8543790	0,7891946	0,6831945	0,9235125	0,9331069	0,5824393	0,7645648	0,5779878	0,8939986	0,6708676	0,8326272	0,5949505	0,7268167	0,0487149	0,5406574	0,4233028

0	0,7481054	0,8350477	0,7072648	0,0351994	0,0305130	1,0165021	0,1092707	0,9689308	0,0795370	0,0790270	0,0521901	0,0206896	0,1570893	1,0221352	0,0023986	0,9739668
20	0,7529316	0,9238753	0,5869736	0,0752275	0,0239423	0,9258378	0,0883996	0,9788340	0,1291248	0,0634396	0,0975938	0,0465524	0,1865689	0,8757204	0,0586889	0,9186844
40	0,8183611	0,9008853	0,5941700	0,2292784	0,0331464	0,8701279	0,0927070	0,9918613	0,2260284	0,0528224	0,2047503	0,0748480	0,3030388	0,8717285	0,2516909	0,8013045
60	0,8194725	0,8522970	0,5590082	0,3277624	0,0344886	0,7964413	0,1122025	1,0408394	0,3103521	0,0361051	0,3635785	0,1168419	0,3419610	0,8937005	0,3119933	0,6330927
80	0,7919577	0,8713723	0,6239630	0,4614509	0,0254474	0,7777758	0,0972531	0,9405982	0,3346069	0,0320715	0,4625541	0,1628285	0,3059749	0,9174427	0,4290683	0,4906478
100	0,8188823	0,8370596	0,5958564	0,6307266	0,0307318	0,7001246	0,0983105	0,9669952	0,3858098	0,0306103	0,5327691	0,2052685	0,3520630	0,9766359	0,5213571	0,3821284
120	0,7720888	0,8028106	0,6234782	0,6848036	0,0385592	0,6853873	0,0755362	0,9847161	0,4230132	0,0376363	0,6061371	0,2271988	0,3419570	0,9755462	0,5006424	0,2949954
140	0,7086124	0,8617576	0,6327389	0,6851392	0,0386378	0,5874498	0,0656285	0,9108271	0,4690916	0,0300530	0,6559248	0,2583558	0,4283249	1,0110420	0,5932865	0,2355740
160	0,7661688	0,8597497	0,6604743	0,7601316	0,0596549	0,5392691	0,0809521	0,9591046	0,4365228	0,0336234	0,6515765	0,2288459	0,4925619	0,9533738	0,7157552	0,2126751
