"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
260	0,2503689	0,6547014	0,5299119	0,6904858	0,0109692	0,6084057	0,6459304	0,0408554	0,3389577	0,5788807	0,6249378	0,1089603	0,4368352	0,5642059	0,7688128	0,1350451
280	0,1811026	0,7027767	0,4085586	0,7588737	0,0271931	0,4242128	0,6801020	0,0289375	0,3283613	0,5806367	0,5641682	0,0905605	0,3959743	0,6661467	0,8246025	0,0894850
300	0,2201972	0,8398625	0,4142178	0,6234378	0,0325268	0,3832179	0,6038182	0,0950546	0,3131959	0,5870418	0,7057323	0,1180115	0,4402296	0,6423764	0,8407421	0,1526330
320	0,2015201	0,6483415	0,4049081	0,6942754	0,0045493	0,3780027	0,5973004	0,0571866	0,3829776	0,6357603	0,6432466	0,1482979	0,5282308	0,5824528	0,7143519	0,0966524
340	0,1929715	0,8294697	0,5797160	0,7301105	0,0154094	0,3950872	0,5371440	0,0663214	0,4075495	0,6247479	0,5832478	0,1600354	0,3496296	0,6391397	0,6674776	0,1053350
360	0,1946071	0,7794985	0,5947038	0,6783733	0,0170402	0,2922982	0,6259126	0,0723181	0,2609803	0,5773125	0,6930241	0,1138483	0,4514320	0,5684005	0,7109194	0,1044161
380	0,1800974	0,7706719	0,4246847	0,7217733	0,0279209	0,4390827	0,7693667	0,0821734	0,3341555	0,6984326	0,6790006	0,1509316	0,5110300	0,6328652	0,6964868	0,0940711
400	0,2324121	0,7210345	0,6202764	0,7871905	0,0205087	0,3942044	0,6397459	0,0512176	0,3372503	0,5462661	0,5720151	0,1471497	0,4281293	0,5865927	0,7740195	0,1166517
420	0,2382781	0,7946353	0,4334380	0,6035391	0,0210656	0,3879321	0,7582730	0,0590571	0,3133194	0,6253057	0,7739610	0,1188894	0,5117340	0,6564142	0,7527130	0,1245646
440	0,2238013	0,7684864	0,4575040	0,7591023	0,0249381	0,3208808	0,6880166	0,0542034	0,2982025	0,6924945	0,7449869	0,0692215	0,2751100	0,6402826	0,6652377	0,1217061
460	0,3045989	0,9079049	0,4388724	0,7922959	0,0262917	0,4190795	0,5519327	0,0528850	0,2607522	0,7280472	0,6390634	0,0562685	0,4018987	0,5898734	0,6853000	0,1665786
480	0,1737737	0,9105948	0,4716091	0,7137979	0,0215909	0,3573949	0,6140662	0,0537677	0,2625025	0,6526673	0,6497669	0,1129988	0,4533441	0,5649874	0,8094752	0,1857995
