"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
920	0,5368484	0,7490095	0,0578315	0,1677058	0,4886703	0,1530146	0,4185808	0,4135509	0,6662693	0,4062289	0,0739392	0,4413191	0,3354288	0,3103655	0,4723563	0,2548207
940	0,5830611	0,8585458	0,0213455	0,1573149	0,5574392	0,1571987	0,5174948	0,3914429	0,7558177	0,5043964	0,0997054	0,3621330	0,2988411	0,3355302	0,4730730	0,3404194
960	0,4850223	0,7613389	0,0276898	0,1974584	0,5369945	0,1600763	0,5779280	0,4966317	0,5398412	0,4593956	0,1204731	0,3985803	0,2931024	0,4034720	0,5381694	0,3724426
980	0,5025324	0,6370647	0,0357134	0,2072679	0,4825008	0,1272860	0,4312117	0,5035079	0,6273998	0,4382073	0,0719180	0,4237268	0,2721406	0,3263393	0,4398905	0,3348630
1000	0,4448380	0,7154887	0,0315693	0,2196015	0,4379491	0,1130119	0,5821820	0,6693411	0,7168111	0,3788474	0,1160602	0,3481174	0,2620991	0,3700621	0,4153702	0,4508864
1020	0,4874988	0,6786672	0,0530229	0,2099758	0,5158597	0,1782594	0,5859928	0,5280188	0,6243803	0,4137152	0,0962149	0,3862565	0,2726507	0,3377556	0,4786650	0,4626826
1040	0,4645601	0,6884536	0,0587077	0,1426403	0,5683541	0,1234376	0,6249783	0,5591943	0,7141518	0,3805243	0,1062457	0,4892177	0,2777751	0,2424196	0,4227356	0,3399065
1060	0,5786671	0,6779538	0,0689205	0,2263948	0,5127446	0,1454858	0,5666844	0,6658103	0,6874931	0,4738893	0,0717221	0,5850400	0,2803320	0,2796226	0,4553032	0,3754693
1080	0,6521368	0,7772373	0,0585623	0,2508734	0,4789485	0,1457539	0,6232166	0,5182144	0,6422194	0,3820950	0,0675298	0,3471053	0,2275623	0,3409782	0,4728032	0,3704346
1100	0,5474781	0,7365138	0,0648620	0,2748197	0,4676466	0,1056896	0,5884731	0,4578333	0,4710854	0,4550010	0,0787824	0,3533890	0,3248479	0,2978424	0,3632477	0,3418757

0	0,5126856	0,7983456	0,0432876	0,2003857	0,4348172	0,1259490	0,7160663	0,4925164	0,5970791	0,4244184	0,1103344	0,3799492	0,2649335	0,3838101	0,4712188	0,3420400
20	0,4897952	0,7458810	0,0641966	0,2195777	0,3420009	0,0732554	0,6152781	0,3571500	0,6283750	0,3544040	0,0505152	0,5091727	0,2792303	0,2970597	0,5726607	0,3831777
40	0,5141983	0,6578396	0,0302188	0,1183790	0,3674947	0,1196726	0,6067275	0,4789971	0,5966223	0,3432917	0,0323605	0,4208856	0,2549135	0,2630753	0,4068880	0,2529719
60	0,5442972	0,7240721	0,0446124	0,0894746	0,5758339	0,1168006	0,7187596	0,5426684	0,4350061	0,3317537	0,0230769	0,4824200	0,2101371	0,3465997	0,5134933	0,2421023
80	0,3919935	0,6589122	0,0204271	0,1019574	0,5943605	0,1906018	0,7830383	0,6033531	0,6243134	0,3060537	0,0204774	0,4424640	0,2281800	0,3496296	0,5073728	0,2180240
100	0,3562053	0,7223799	0,0333521	0,0394667	0,5928210	0,1774378	0,6854695	0,4945555	0,6102009	0,3778595	0,0213497	0,3417157	0,2031004	0,3533094	0,4199838	0,1337732
120	0,4033077	0,6153121	0,0827416	0,0420938	0,6222507	0,1428620	0,5659373	0,5336447	0,5614695	0,3923551	0,0120634	0,5091729	0,3289117	0,3942367	0,4909934	0,1713016
140	0,4922461	0,6318652	0,0929660	0,0618215	0,5866970	0,2185510	0,6401076	0,6428824	0,5179695	0,3551944	0,0132423	0,4802698	0,2259781	0,3836278	0,4395291	0,1484279
160	0,3449092	0,6296768	0,0809241	0,0385658	0,5946629	0,3038041	0,6650724	0,7540356	0,5198292	0,4139278	0,0169615	0,4411268	0,2164614	0,3888540	0,5808985	0,0957552
180	0,4234086	0,7981664	0,0825219	0,0189865	0,6510277	0,2931179	0,6897146	0,6050732	0,4960625	0,6351451	0,0205148	0,5528676	0,1980898	0,4634667	0,4083789	0,0610114
200	0,6033188	0,6868705	0,0419123	0,0078780	0,6597389	0,2727028	0,6268132	0,5479973	0,4562044	0,5621297	0,0170423	0,6316148	0,2328128	0,4187059	0,3559558	0,0754535
220	0,3490919	0,5249968	0,0427070	0,0027019	0,7071869	0,3102558	0,7211878	0,5571440	0,6097503	0,6284917	0,0189576	0,4770836	0,2244986	0,6049020	0,4302474	0,0687592
240	0,3591634	0,6739343	0,0601082	0,0039306	0,7282591	0,2569929	0,6493843	0,6253832	0,5142313	0,6158629	0,0211363	0,3889131	0,3550902	0,4983666	0,3834392	0,0660766
260	0,4065151	0,8797114	0,0992268	0,0003051	0,7171529	0,2392745	0,6125978	0,7483119	0,5274375	0,4306979	0,0455648	0,4347945	0,2381628	0,4595408	0,3913538	0,0740942
280	0,4353666	0,6491575	0,0721192	0,0001312	0,6639848	0,2314439	0,7265783	0,6030664	0,4437867	0,5443116	0,0777642	0,4934903	0,2418315	0,5961022	0,3979544	0,0982954
300	0,3554101	0,6502417	0,0533992	0,0032325	0,7166806	0,2398088	0,6214670	0,7517732	0,4813987	0,4708899	0,0248783	0,4999425	0,2344391	0,5089360	0,3431364	0,0477998
320	0,4575737	0,6384179	0,0672515	0,0003358	0,6306081	0,2178009	0,5710471	0,6124102	0,5556996	0,6211510	0,0478201	0,4706139	0,1804661	0,5958970	0,4421429	0,0687330
340	0,3669645	0,5740970	0,0642242	0,0039991	0,5454597	0,3024043	0,6237357	0,5769227	0,6043275	0,4668821	0,0371667	0,4976738	0,2536958	0,5699555	0,4026247	0,0532444
360	0,3625965	0,6353056	0,0450510	0,0005576	0,6031387	0,3568908	0,6285912	0,6014385	0,5668680	0,4344427	0,0369714	0,5238474	0,2632951	0,4964819	0,4027776	0,0493354
380	0,4230668	0,6543678	0,0815533	0,0067219	0,6440908	0,3874485	0,6077820	0,5799676	0,6536951	0,5100339	0,0399324	0,5105879	0,2967095	0,6663762	0,2890595	0,0305753
400	0,4302526	0,6082438	0,0693750	0,0091271	0,6391849	0,3623525	0,7786921	0,8242273	0,6199686	0,4476379	0,0398089	0,4969620	0,2757822	0,4662950	0,4096982	0,0689382
420	0,3847336	0,6863999	0,0328541	0,0016678	0,7065235	0,2980324	0,6818278	0,7349463	0,5246286	0,5399560	0,0355195	0,5344885	0,2092821	0,5527243	0,3638474	0,0614840
440	0,4343846	0,6857911	0,0917707	0,0059874	0,5462513	0,1933141	0,6744074	0,7602833	0,6202830	0,5509749	0,0145328	0,4242782	0,3776305	0,4222445	0,3701192	0,0619393
460	0,3860679	0,7286103	0,0861039	0,0009099	0,5323249	0,2053204	0,6759035	0,8203572	0,5678141	0,6379012	0,0348810	0,3966653	0,3082407	0,4574440	0,3627298	0,1044070
480	0,3795285	0,5420039	0,0620119	0,0002685	0,6729017	0,2473243	0,7094660	0,6215483	0,6423214	0,6230434	0,0245573	0,4955249	0,2466101	0,4355143	0,3367052	0,1196540
500	0,3850652	0,6895544	0,0659197	0,0006925	0,6041910	0,2273007	0,7031928	0,5318174	0,5539574	0,6300634	0,0352682	0,4518838	0,3178400	0,4383323	0,5396003	0,0710844
