"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
780	1,1183827	0,5955725	1,0521503	0,1607305	1,0254578	0,1333183	0,4768926	0,9638457	0,1011050	0,2500669	1,0257092	0,6274055	0,9529073	0,5804684	0,6688152	0,8729380
800	1,0292632	0,5781132	0,9907121	0,1187316	1,0092133	0,1150754	0,4311716	0,8941378	0,0812337	0,2606785	0,9959426	0,6290923	0,9406399	0,5830833	0,6970728	0,8551827
820	1,0104270	0,5656208	0,9920330	0,1375773	1,0177041	0,1443191	0,4434850	0,8949000	0,0583451	0,2469957	1,0215568	0,7150271	0,9147907	0,5456756	0,6860203	0,9503585
840	1,0825318	0,6131999	0,9471677	0,1316084	1,0188254	0,1605897	0,4266270	0,9160022	0,0607562	0,2563910	0,9929196	0,6783360	0,8766577	0,5471334	0,6953187	0,9456303
860	1,0095703	0,6152025	0,9835934	0,1139616	1,0186480	0,1461450	0,4459354	0,8921800	0,0561302	0,2483005	1,0042184	0,6723300	0,8096245	0,6344185	0,6834200	0,9500468
880	0,9788140	0,6519733	1,0063065	0,1206484	1,0217203	0,1544648	0,4369563	0,8688088	0,0598878	0,2147123	1,0230016	0,6482388	0,9207601	0,7112805	0,6995829	0,9619635
900	0,9622226	0,6948334	1,0603427	0,1658812	0,9944917	0,1897300	0,4368294	0,9321667	0,0454887	0,2562284	0,9745030	0,7004733	0,9022208	0,6608783	0,6870288	0,9339534
920	0,8681197	0,7047165	1,0595224	0,1591840	1,0087311	0,1977330	0,4116424	0,9582095	0,0374998	0,2833098	0,9659437	0,7483801	0,8779437	0,5717073	0,7192619	0,9437181
940	0,8934766	0,7700127	1,1672726	0,1351847	1,0317028	0,1934461	0,3943821	1,0148852	0,0501529	0,2772771	0,9097380	0,7183020	0,8789105	0,5807565	0,7198857	0,9905610
960	0,9079995	0,7585810	1,1460829	0,1384832	1,0245739	0,1947127	0,3703443	1,0814797	0,0493290	0,2688160	0,9694544	0,7582969	0,9371451	0,5479149	0,6654387	0,9365958
