"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
900	0,7068372	0,3337946	0,3330044	0,2093663	0,7770845	0,1611515	0,5697251	0,2280269	0,3270705	0,7912596	0,1452626	0,0271129	0,0033788	0,2686345	0,1102120	0,2646090
920	0,6179963	0,3877920	0,3947650	0,2582839	0,7629055	0,2101212	0,5121844	0,2791209	0,2211250	0,8296115	0,1929325	0,0347074	0,0042576	0,3468530	0,1410590	0,1543559
940	0,6851702	0,4181208	0,3448895	0,2900283	0,7458086	0,2339635	0,5052069	0,2043127	0,2137595	0,7147787	0,1124838	0,0178712	0,0035002	0,2542622	0,1294460	0,2035106
960	0,6764760	0,4623022	0,3523998	0,2511377	0,8070678	0,1638342	0,3877193	0,2833801	0,2268023	0,6902568	0,1307800	0,0236008	0,0012329	0,2814557	0,1128861	0,2884473
980	0,5828356	0,4011854	0,3684706	0,2798198	0,7800619	0,1525300	0,4983599	0,3119711	0,2546195	0,7192930	0,1310020	0,0224959	0,0020667	0,3050349	0,1246202	0,2187662
1000	0,7782381	0,3992100	0,3332840	0,2434047	0,6758772	0,1290812	0,4222008	0,3209409	0,2127769	0,7534594	0,1291379	0,0097135	0,0060309	0,2713744	0,1070227	0,2327378
1020	0,6856795	0,3122160	0,2893828	0,2495540	0,6666878	0,2239371	0,5320719	0,2921734	0,3290321	0,6305084	0,1478881	0,0098118	0,0022920	0,2667216	0,1732788	0,1836561
1040	0,5599955	0,3998993	0,3155403	0,3760567	0,7179944	0,1853494	0,4447039	0,2933809	0,1988632	0,7781833	0,1845763	0,0294668	0,0014785	0,2343016	0,1135365	0,2428095
1060	0,6452125	0,3308326	0,2983054	0,2438558	0,7990540	0,2070333	0,5111641	0,2616133	0,2243218	0,6842071	0,1165061	0,0070011	0,0007559	0,2708682	0,1599847	0,1706951
1080	0,6300415	0,4054336	0,3450745	0,2501289	0,6628502	0,2301586	0,5346348	0,3064881	0,2259705	0,7147483	0,1762130	0,0047096	0,0048661	0,2101751	0,1508464	0,2139623
1100	0,6042091	0,4378248	0,4075409	0,3297895	0,6420743	0,1576629	0,5631600	0,2157446	0,2672964	0,9109396	0,1413992	0,0086724	0,0147278	0,2812873	0,1604473	0,2326870

0	0,6728669	0,4130572	0,3610922	0,2765596	0,7235741	0,2215407	0,6100806	0,2354184	0,3525745	0,6895392	0,1272853	0,0210834	0,0003716	0,3437422	0,0594409	0,2264873
20	0,8006532	0,3775882	0,3190047	0,1627727	0,6766070	0,1972462	0,4206849	0,2546051	0,2366448	0,6053281	0,1333884	0,0186663	0,0063246	0,2399368	0,1142123	0,1710344
40	0,5759050	0,2760217	0,2963134	0,2191200	0,8377339	0,2096056	0,4527613	0,2839513	0,2322227	0,4711473	0,1064889	0,0150190	0,0108369	0,2885406	0,1394575	0,2052415
60	0,7217227	0,1641934	0,3249278	0,1332096	0,7922521	0,2210948	0,5920849	0,2610383	0,2295473	0,4594629	0,1195892	0,0170893	0,0024489	0,2384905	0,0669163	0,1668115
80	0,5821644	0,1684741	0,2867025	0,1879079	0,7446453	0,3310845	0,5705816	0,3238449	0,2999941	0,4104839	0,0719631	0,0120196	0,0011336	0,2507258	0,1147156	0,2095350
100	0,5853524	0,1460000	0,3136665	0,1704759	0,8160396	0,4500178	0,7275548	0,4427463	0,2258995	0,2403198	0,0369328	0,0377590	0,0042948	0,2551142	0,1195104	0,2293246
120	0,7212469	0,1519080	0,2868415	0,1758189	0,7882767	0,5343205	0,7228282	0,3427517	0,2892182	0,1496700	0,0612077	0,0578351	0,0014285	0,2448484	0,1020851	0,1627413
140	0,7364500	0,0598460	0,3078662	0,1919605	0,7629509	0,5992783	0,7921559	0,4952031	0,2784247	0,2432869	0,0619413	0,0758701	0,0037245	0,2144421	0,1023979	0,1993516
160	0,5516117	0,0306160	0,2667714	0,2178724	0,8317922	0,7253307	0,6485487	0,4982109	0,2529051	0,1011716	0,0351029	0,1352171	0,0015943	0,3114013	0,1094195	0,2060494
180	0,6321402	0,0339962	0,3994974	0,1782379	0,6472366	0,7332827	0,8186922	0,7023330	0,2588643	0,0776933	0,0634006	0,0864144	0,0006735	0,2819580	0,1065370	0,1517035
200	0,6961650	0,0702557	0,3785260	0,1846772	0,7341111	0,7772867	0,8459182	0,7317519	0,3077074	0,1293415	0,0641989	0,1336407	0,0015083	0,2614492	0,1317230	0,1679207
220	0,5924534	0,0346096	0,3370743	0,1802471	0,8425965	0,7342391	0,7722226	0,5522534	0,2336609	0,0887129	0,0868242	0,1871444	0,0159440	0,2926157	0,1257728	0,2436673
240	0,7581353	0,0364722	0,3257610	0,1855984	0,6668524	0,6778807	0,7386687	0,5517978	0,2206055	0,0758231	0,0764099	0,1764251	0,0004697	0,3067119	0,0805445	0,3183906
260	0,5973962	0,0448876	0,3357730	0,1503769	0,7235431	0,7121765	0,9341781	0,6465290	0,2199917	0,0655056	0,0742876	0,2273168	0,0022416	0,2445827	0,0889439	0,2256384
280	0,6145474	0,0226350	0,3478744	0,1805307	0,6562551	0,7581189	0,7162486	0,6561216	0,2301942	0,0709926	0,0755763	0,2086560	0,0120155	0,2234932	0,1377673	0,1726511
