"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
100	0,5601549	0,5431212	0,4532287	0,4974933	0,0214974	0,4816758	0,0709052	0,7356610	0,3704774	0,0133470	0,3933012	0,1274579	0,2419148	0,6615737	0,3330954	0,3088967
120	0,5858072	0,6415445	0,4106176	0,5593700	0,0199667	0,5434934	0,0382806	0,6631702	0,3307357	0,0510161	0,4667483	0,1371856	0,2361527	0,7349661	0,3162228	0,2409905
140	0,5175389	0,7457512	0,4710935	0,4452076	0,0397304	0,5046703	0,0347527	0,7722497	0,3127768	0,0220803	0,5048915	0,2125898	0,3390298	0,7935703	0,4531610	0,1390683
160	0,5682023	0,6446348	0,3736293	0,5841628	0,0852540	0,4061000	0,0459569	0,6202553	0,4321955	0,0219989	0,4742881	0,2122881	0,3325682	0,7163858	0,4696091	0,1408311
180	0,5348913	0,6712997	0,5011432	0,6032108	0,0347916	0,3932770	0,0858983	0,5915997	0,2905940	0,0203431	0,4026660	0,1600290	0,3620070	0,6980415	0,5693500	0,0967571
200	0,5744552	0,7162643	0,6486845	0,6402748	0,0621966	0,4745709	0,0462302	0,6983625	0,3608628	0,0319798	0,4835195	0,2213338	0,3233848	0,7986824	0,5526988	0,0873297
220	0,5844068	0,6879431	0,5136407	0,6591950	0,0237714	0,3082930	0,1006969	0,7395841	0,2855093	0,0462331	0,5278396	0,2866583	0,3350541	0,7371659	0,5338252	0,0748338
240	0,5971419	0,7490281	0,5518997	0,5391416	0,0615412	0,3098200	0,0608983	0,7751537	0,3353332	0,0507230	0,5006687	0,2860379	0,3790368	0,6997724	0,4279398	0,1115319
260	0,6693846	0,6677470	0,4744957	0,4969872	0,0421619	0,3294101	0,0887165	0,7211718	0,3194355	0,0462678	0,4668923	0,2686596	0,4325045	0,6737609	0,5545168	0,1051210
280	0,6049239	0,6044575	0,4988154	0,5819617	0,0352291	0,3136646	0,0466760	0,7832738	0,2666433	0,0599569	0,7006820	0,1709347	0,3865888	0,8341414	0,4700961	0,0815720
300	0,5666579	0,7121470	0,4724913	0,5918520	0,0311451	0,3090889	0,0432072	0,7330948	0,3223445	0,0428752	0,5581579	0,3463282	0,3604772	0,7912884	0,3864965	0,0689558
320	0,6699239	0,5669915	0,4869770	0,5956656	0,0199508	0,3423775	0,0281463	0,7341529	0,4113488	0,0602013	0,5985308	0,2850283	0,3114717	0,8656857	0,4314555	0,1496784
340	0,5590406	0,5882277	0,5302061	0,6631593	0,0677121	0,3921163	0,0271968	0,7897721	0,2944326	0,0469827	0,6473448	0,2249423	0,2991112	0,8044324	0,5294315	0,1275369
360	0,4975068	0,6598699	0,5973220	0,6395495	0,0209452	0,3269448	0,0535769	0,8034784	0,3474360	0,0302622	0,6600748	0,2722938	0,4195787	0,7368424	0,7130265	0,0704729
380	0,5473450	0,6569760	0,5292356	0,7058108	0,0875322	0,4042665	0,0415000	0,6669250	0,3391842	0,0679722	0,7083444	0,2173702	0,3214104	0,6402839	0,4078729	0,1483201
400	0,5048910	0,5628021	0,4518331	0,6033810	0,0216117	0,3756389	0,0572962	0,7081973	0,3273123	0,0698672	0,6416205	0,2311275	0,2830960	0,6346147	0,5233705	0,1902485
420	0,5413918	0,7322124	0,3592382	0,7507293	0,0209585	0,3310769	0,0651743	0,6765883	0,3142932	0,0559149	0,6375693	0,2077215	0,3947351	0,6109143	0,5283005	0,1187090
440	0,5346603	0,6258565	0,3138776	0,6289355	0,0130575	0,3054766	0,1009269	0,5896256	0,3293057	0,0939733	0,5103308	0,3272414	0,2945795	0,7259408	0,4589526	0,0675774
460	0,6046072	0,5413360	0,4716829	0,7121263	0,0521864	0,4077690	0,0550967	0,7352492	0,3172057	0,0499066	0,5384212	0,2683563	0,3473555	0,8355136	0,4733850	0,1692559
480	0,6637835	0,6342300	0,4474676	0,6536089	0,0372994	0,3544172	0,0470613	0,7825124	0,3974503	0,0341561	0,5485517	0,2379806	0,3443508	0,9133470	0,6274471	0,1178480
500	0,6067910	0,6143463	0,5684106	0,7032541	0,0579694	0,3645851	0,0674150	0,7280042	0,2777071	0,0346980	0,5718409	0,2879105	0,4258187	0,7903491	0,4844627	0,1061641
