"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
80	0,7896752	0,5513608	0,3384605	0,2095626	0,7635702	0,0371666	0,4018340	0,3216116	0,0799571	0,2162185	0,5741573	0,3145625	0,5657425	0,4245294	0,5941200	0,7990960
100	0,7351685	0,5266999	0,3500959	0,2278043	0,6511299	0,0384491	0,4078354	0,2592054	0,0934458	0,2167638	0,6660134	0,2599329	0,4280526	0,4388806	0,5497026	0,9054448
120	0,7519069	0,5172219	0,2657165	0,2690279	0,6635621	0,0416034	0,3651652	0,2281349	0,1299755	0,2890025	0,8105696	0,2500701	0,5900709	0,5300265	0,4632095	0,7184006
140	0,6761819	0,5663471	0,2830712	0,2792225	0,6264104	0,0110452	0,3830734	0,1695711	0,1276530	0,3487885	0,7550281	0,2034315	0,5616605	0,4455945	0,5411374	0,7558523
160	0,6706795	0,4990098	0,3560013	0,3564095	0,7272660	0,0052826	0,2876632	0,0878974	0,1229525	0,3228555	0,7303609	0,1481977	0,7424995	0,4657452	0,4041176	0,7392040
180	0,6600361	0,4681711	0,2931848	0,3499606	0,5950132	0,0097248	0,3041425	0,0786579	0,1366217	0,3639690	0,7023050	0,1664935	0,6828570	0,4332024	0,5057539	0,7072970
200	0,7338318	0,5443925	0,2429102	0,3704812	0,6631735	0,0157619	0,3871230	0,0687859	0,2111993	0,4405681	0,5558980	0,1415807	0,5396256	0,4646545	0,5508513	0,7750688
220	0,8211906	0,4990938	0,2488700	0,3744936	0,9096956	0,0026215	0,3268524	0,0382055	0,1668716	0,3215809	0,5326790	0,1179465	0,5705212	0,5228125	0,5702014	0,7539526
240	0,6866462	0,4600437	0,2282956	0,4890982	0,6410777	0,0029714	0,4221534	0,0401133	0,1741695	0,4821691	0,5424605	0,0804706	0,6138591	0,5150086	0,4823956	0,6781908
260	0,7805634	0,3865641	0,2084133	0,4914679	0,5672953	0,0092883	0,3678512	0,0426714	0,2911758	0,5267271	0,5629050	0,0938882	0,5590775	0,4490842	0,4826449	0,6633418
280	0,6996744	0,4131792	0,3004606	0,5386487	0,7890525	0,0019423	0,3573011	0,0246618	0,3028090	0,5511446	0,5529023	0,0926128	0,5023611	0,3599019	0,5319874	0,8237078
300	0,7081996	0,4091852	0,2382839	0,5853404	0,7434586	0,0033562	0,3164003	0,0265459	0,4029610	0,5079809	0,6256917	0,0646806	0,5296084	0,5594596	0,5408296	0,6078928
320	0,8465990	0,4103406	0,2830899	0,4989221	0,7809823	0,0009303	0,2841903	0,0274764	0,3429890	0,6564558	0,5500389	0,0652213	0,5365066	0,4462898	0,5860108	0,7499757
340	0,8187845	0,3887988	0,2705402	0,4337487	0,6768358	0,0015676	0,2567349	0,0183854	0,3790522	0,5387874	0,7280493	0,0407056	0,5740293	0,3927752	0,4873851	0,6347842
360	0,7537920	0,4007077	0,2234799	0,5899480	0,7854784	0,0009079	0,3450927	0,0288880	0,2644930	0,5083763	0,5401570	0,0376277	0,4335475	0,3143208	0,5358710	0,7179188
