"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
280	1,0054912	0,4424711	0,5959339	0,1427924	0,1350369	0,8099102	0,0424247	0,7028183	0,7247258	0,3795719	0,7738778	0,0179384	0,1599494	0,2642518	0,3579313	0,0221644
300	1,0026759	0,4562621	0,5578595	0,0962150	0,1364750	0,7886685	0,0415877	0,6907971	0,6586018	0,3845248	0,8688190	0,0164263	0,1249854	0,2894180	0,3566205	0,0338741
320	1,0608328	0,4212965	0,5808122	0,1243710	0,1225834	0,7803879	0,0351517	0,7010887	0,7116027	0,3787856	0,9090100	0,0131111	0,1142174	0,3125975	0,3840092	0,0333370
340	1,0733830	0,3832517	0,5741616	0,1227629	0,1164869	0,8151874	0,0307653	0,6956202	0,6598166	0,4401116	0,8794021	0,0213616	0,1166840	0,3120140	0,3868419	0,0453089
360	1,1293466	0,4418050	0,5970483	0,1120254	0,1356780	0,7952261	0,0237743	0,7044889	0,6870907	0,4300581	0,9283458	0,0235062	0,1347467	0,3270067	0,4055127	0,0409332
380	1,1646331	0,4639513	0,6272075	0,1153094	0,1449613	0,8151824	0,0254798	0,6955022	0,6521305	0,4299381	0,9381554	0,0313898	0,1393041	0,3511144	0,3790789	0,0288166
400	1,1434218	0,4632038	0,6399703	0,1404946	0,1416954	0,8057336	0,0181822	0,6791256	0,6823695	0,4568438	0,8384734	0,0273005	0,1586109	0,3510377	0,3602549	0,0298616
420	1,0646213	0,4758146	0,6333498	0,1178159	0,1298720	0,8114603	0,0210920	0,7115961	0,6982730	0,4225533	0,8988789	0,0175185	0,1790493	0,2976498	0,4047577	0,0295533
440	1,0585746	0,4046001	0,6092277	0,1344788	0,1151238	0,7377061	0,0230204	0,7537581	0,7217444	0,4476067	0,8904475	0,0099182	0,2066966	0,2944508	0,4116248	0,0249682
460	0,9930636	0,3928924	0,6261211	0,1188285	0,1106650	0,7149719	0,0185843	0,7300156	0,7800516	0,4313798	0,8901729	0,0096122	0,2162910	0,3162881	0,3831193	0,0354494
480	0,9834679	0,3795273	0,5274553	0,1125021	0,1264584	0,7643478	0,0138311	0,6615206	0,7531254	0,4160191	0,9360661	0,0098550	0,2024325	0,3277468	0,4019039	0,0332615
500	0,9311742	0,3614671	0,5709876	0,1439186	0,1523127	0,7375667	0,0177843	0,6913761	0,6766045	0,4104868	0,8513214	0,0112371	0,1751167	0,3135803	0,4429414	0,0287912
