"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
980	0,7065290	0,2804905	0,3296382	0,6454937	0,6810154	0,2082449	0,2397537	0,1919175	0,5232092	0,8927072	0,8318106	0,3823149	0,8829543	0,1899306	0,8647725	0,2375005
1000	0,6574446	0,3170395	0,3653457	0,6718400	0,7055050	0,2169846	0,2473058	0,1613885	0,4998181	0,8843827	0,7377619	0,3623965	0,8701041	0,1613870	0,9027278	0,2591901
1020	0,6614267	0,3051954	0,3651768	0,6984487	0,7105166	0,2058919	0,2383001	0,1820908	0,5358269	0,9125580	0,7293964	0,3745328	0,8572268	0,2044043	0,8989677	0,2932313
1040	0,6627485	0,3187057	0,3786520	0,6540547	0,6892754	0,2439916	0,2757021	0,1644378	0,5207013	0,9325423	0,7454177	0,3478157	0,8618055	0,1714530	0,8652367	0,2902564
1060	0,6525096	0,3235064	0,3755793	0,6682288	0,6541222	0,2433326	0,2661146	0,1523356	0,5714966	0,9276587	0,8319494	0,3304903	0,9020669	0,1539798	0,7682179	0,2837926
1080	0,6938351	0,3339267	0,3623789	0,6699769	0,6689398	0,1934005	0,2479641	0,1759388	0,5553794	0,9662253	0,8113493	0,3354083	0,8059754	0,1567261	0,6947243	0,2743206
1100	0,7106330	0,3544974	0,3249506	0,6441867	0,6951447	0,2343615	0,2505336	0,1564901	0,5743753	1,0072858	0,8355593	0,3503685	0,8008331	0,1430379	0,7368272	0,2652031

0	0,7081478	0,3190892	0,3726016	0,5738924	0,6608471	0,1615315	0,1952059	0,2017575	0,5682986	0,8925857	0,7770426	0,3591222	0,7936145	0,2199795	0,9712504	0,2517356
20	0,6712926	0,3224286	0,3424179	0,6229646	0,6565206	0,3441038	0,2603790	0,1929545	0,5924518	0,8915537	0,7800086	0,3248216	0,8073297	0,1609059	0,8053481	0,2499071
40	0,6259290	0,3372567	0,3781306	0,6034378	0,7035509	0,4789785	0,3485892	0,3048471	0,6021678	0,8796256	0,7908092	0,2970841	0,7880405	0,1709383	0,8473189	0,2078417
60	0,6655971	0,3079712	0,3333802	0,6351028	0,6735353	0,6369670	0,5037658	0,3574863	0,6095133	0,8968148	0,7449882	0,3412763	0,7994298	0,1722625	0,8596078	0,2585226
80	0,6754639	0,2854095	0,3627962	0,6672102	0,6337086	0,7435991	0,5521070	0,4147341	0,6128333	0,9070458	0,6936821	0,3447466	0,7691571	0,1470926	0,8327591	0,2908901
100	0,7874443	0,3142303	0,3683763	0,7275739	0,6152726	0,7081733	0,6280663	0,4917069	0,6753317	0,9260101	0,6575667	0,3392148	0,7655380	0,1760216	0,8572932	0,2846501
120	0,7688567	0,3194517	0,3199081	0,8168165	0,6593704	0,7311902	0,6887385	0,5390109	0,6716641	0,8541211	0,7088159	0,3410894	0,7326940	0,1730459	0,8466459	0,2846846
140	0,7258658	0,3514992	0,3375469	0,7961697	0,6591132	0,8018620	0,7519039	0,6209812	0,6325374	0,8774689	0,7426580	0,3028897	0,7377278	0,1692210	0,8244569	0,2447387
160	0,6949848	0,3309427	0,4000744	0,8005249	0,6584926	0,8534817	0,7829748	0,5835549	0,6066750	0,7967389	0,7658088	0,3312829	0,7679866	0,1992661	0,8680509	0,2641434
180	0,6779192	0,3497935	0,3300652	0,7658391	0,6851241	0,8338694	0,7518549	0,5819672	0,6144687	0,8193674	0,7622077	0,2938153	0,7956066	0,1778919	0,8653692	0,2876741
200	0,6649051	0,3795558	0,3411722	0,8172357	0,6856738	0,7873153	0,7482257	0,5662897	0,6128507	0,8210636	0,7681388	0,3046688	0,8158174	0,1884959	0,8810945	0,2675206
220	0,7061166	0,3970727	0,3148380	0,7617587	0,6446569	0,8375371	0,8260565	0,5890262	0,6148241	0,7741576	0,7710439	0,3063135	0,8162348	0,1988818	0,8898691	0,2372293
240	0,7111314	0,4039177	0,2978844	0,7995476	0,7235743	0,7836508	0,7988248	0,5453730	0,6596881	0,7569996	0,7642612	0,3468280	0,8359238	0,1885617	0,8879675	0,2215573
260	0,6515615	0,3891183	0,3438647	0,7579260	0,6896116	0,7654985	0,8779293	0,5183990	0,6571457	0,7613705	0,7433482	0,3167227	0,8307490	0,1974845	0,8764982	0,2185911
