"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp
1100	0,6052116	0,9941021	0,8088346	0,9671086	0,9545106	0,2815510	0,7215315	0,6982800	0,9351674	0,9997091	0,0935867	0,9391151	0,2388242	0,3637252	0,9999999	0,9978306	0,3679728	0,7660542	0,9136299	0,2975150	0,8333110	0,4401772	0,5892743	0,9969302	0,7871654	0,9955902	0,5077841	0,9999657	0,5610886	0,8488814	0,9985626	0,6044508

0	0,6052105	0,9940999	0,8087400	0,9671007	0,9544960	0,2815511	0,7213674	0,6982747	0,9351497	0,9997090	0,0936126	0,9390875	0,2388217	0,3638255	0,9999999	0,9978301	0,3677288	0,7660332	0,9136176	0,2975083	0,8333102	0,4402807	0,5892217	0,9966744	0,7870784	0,9955890	0,5077335	0,9999541	0,5611089	0,8489041	0,9985614	0,6043204
20	0,6052124	0,9950523	0,8088955	0,9820615	0,9545061	0,2815510	0,7214140	0,6982848	0,9351681	0,9997091	0,0936058	0,9390976	0,1469126	0,4295582	0,9999999	0,9978307	0,3680171	0,7852488	0,9493551	0,2975133	0,8333106	0,6319202	0,5892422	0,9972368	0,8603868	0,9955898	0,5077761	0,9999578	0,7977169	0,7577666	0,9985618	0,6043782
40	0,6052197	0,9956292	0,8094641	0,9892595	0,9545359	0,2815505	0,7214771	0,6983251	0,9352296	0,9997093	0,0936022	0,9391132	0,0903742	0,4730651	0,9999999	0,9978326	0,3690687	0,7967032	0,9702296	0,2975284	0,8333104	0,7479829	0,5892787	0,9976440	0,9069168	0,9955919	0,5079115	0,9999605	0,9057236	0,7089802	0,9985626	0,6045034
60	0,6052308	0,9959796	0,8103271	0,9927243	0,9545835	0,2815496	0,7215590	0,6983920	0,9353249	0,9997097	0,0935988	0,9391351	0,0555942	0,5018600	0,9999999	0,9978357	0,3707825	0,8035429	0,9824228	0,2975529	0,8333097	0,8182733	0,5893333	0,9979389	0,9364635	0,9955953	0,5081261	0,9999626	0,9550265	0,6828620	0,9985636	0,6046986
80	0,6052429	0,9961930	0,8112726	0,9943935	0,9546399	0,2815484	0,7216516	0,6984712	0,9354326	0,9997101	0,0935928	0,9391609	0,0341991	0,5209157	0,9999999	0,9978391	0,3728098	0,8076357	0,9895452	0,2975821	0,8333089	0,8608422	0,5893998	0,9981527	0,9552324	0,9955994	0,5083757	0,9999642	0,9775322	0,6688753	0,9985647	0,6049362
100	0,6052540	0,9963235	0,8121567	0,9951988	0,9546969	0,2815473	0,7217461	0,6985495	0,9355367	0,9997105	0,0935831	0,9391880	0,0210378	0,5335236	0,9999999	0,9978423	0,3748518	0,8100909	0,9937057	0,2976118	0,8333081	0,8866216	0,5894709	0,9983078	0,9671585	0,9956035	0,5086235	0,9999654	0,9878055	0,6613798	0,9985659	0,6051864
120	0,6052633	0,9964035	0,8129117	0,9955881	0,9547493	0,2815462	0,7218359	0,6986191	0,9356285	0,9997109	0,0935703	0,9392141	0,0129415	0,5418632	0,9999999	0,9978451	0,3767220	0,8115681	0,9961361	0,2976392	0,8333075	0,9022325	0,5895406	0,9984204	0,9747385	0,9956073	0,5088473	0,9999663	0,9924950	0,6573577	0,9985671	0,6054269
140	0,6052706	0,9964528	0,8135210	0,9957769	0,9547946	0,2815452	0,7219170	0,6986764	0,9357047	0,9997112	0,0935557	0,9392379	0,0079611	0,5473773	0,9999999	0,9978475	0,3783320	0,8124600	0,9975559	0,2976628	0,8333072	0,9116851	0,5896048	0,9985023	0,9795572	0,9956107	0,5090373	0,9999670	0,9946356	0,6551941	0,9985682	0,6056440
