"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB
1100	0,0584951	0,0430494	0,5029661	0,6765192	0,6804377	0,1273872	0,6839740	0,0331475	0,2550918	0,6721651	0,4810199	0,7601641	0,5219683	0,4182362	0,4542264	0,0203143	0,0434137	0,2661559	0,0428339	0,0027538	0,5767013	0,4192658	0,4128936	0,0013465	0,1384202	0,6741078	0,2593243	0,6765688	0,0161086	0,3764051	0,0776857	0,0090912

0	0,0786037	0,0143289	0,5323377	0,7628631	0,7243396	0,1463048	0,8744757	0,0650075	0,2077672	0,8936898	0,4133286	0,7336241	0,5855161	0,5397871	0,6041709	0,0110362	0,0780342	0,3358749	0,0491366	0,0312777	0,6328979	0,3638517	0,3922208	0,0274030	0,0819086	0,6941132	0,2711689	0,8010851	0,0282606	0,3867594	0,0759336	0,0007684
20	0,0451740	0,0292617	0,5371775	0,8587995	0,6174060	0,1371608	0,8133118	0,0385821	0,2392823	0,0916685	0,3997052	0,7469695	0,7087646	0,3850366	0,5864438	0,0855367	0,1249147	0,4931579	0,0910228	0,0037269	0,7670755	0,3396890	0,4312148	0,0196149	0,1198077	0,6980252	0,2404256	0,7011048	0,1684562	0,5422257	0,6566664	0,0955637
40	0,0570336	0,0171211	0,4363478	0,7552774	0,4490689	0,0911470	0,7162506	0,0264991	0,2574413	0,0428204	0,3771583	0,5725244	0,6122792	0,5215505	0,6213042	0,0953348	0,0750924	0,5248636	0,1317729	0,0208981	0,6320611	0,3944413	0,3885201	0,0276737	0,2043264	0,6920555	0,2680116	0,6659005	0,2289285	0,5339506	0,7032789	0,0910257
60	0,0427621	0,0266968	0,4812231	0,8074164	0,3449239	0,1165401	0,5954511	0,0262572	0,3301224	0,0624045	0,3400883	0,7413209	0,5289816	0,4595279	0,5957997	0,1166986	0,0811094	0,5510143	0,0424339	0,0070615	0,6466807	0,4091529	0,4228475	0,0299160	0,2191682	0,6746280	0,1900303	0,5779115	0,3713674	0,7230579	0,6400173	0,1160156
80	0,0522887	0,0352314	0,3938336	0,6213118	0,2683778	0,2125878	0,5155596	0,0285860	0,3407616	0,0424268	0,3936546	0,7262347	0,6771844	0,5041735	0,5462092	0,1435402	0,0495441	0,5604715	0,0802779	0,0212378	0,6063052	0,4464015	0,3952063	0,0131196	0,1985072	0,6344641	0,1972081	0,6737853	0,3640061	0,6673666	0,6107878	0,1691299
100	0,0578139	0,0192056	0,4106176	0,7192861	0,3009215	0,2041550	0,5779348	0,0268066	0,3274492	0,0327297	0,4627432	0,7685064	0,7247404	0,3691450	0,5658667	0,1246632	0,0582478	0,6541269	0,0979741	0,0126250	0,5786537	0,5689097	0,4583586	0,0109442	0,2372753	0,6476333	0,2323077	0,6631219	0,3311040	0,5946489	0,6571225	0,1571385
120	0,0611424	0,0529644	0,4300878	0,8393190	0,2113623	0,3004186	0,7029480	0,0312023	0,4546342	0,0665655	0,4254492	0,7402251	0,5605616	0,4573509	0,6773915	0,1722836	0,0406535	0,7305895	0,0278553	0,0118718	0,5349059	0,4464760	0,4576262	0,0619927	0,2470759	0,6154064	0,1891655	0,7859018	0,4045058	0,6408013	0,8208795	0,1232715
140	0,0585371	0,0243374	0,4674252	0,6965478	0,2642724	0,2972028	0,6597627	0,0373853	0,4974045	0,0985923	0,4237733	0,7503660	0,6126338	0,4994133	0,5701361	0,1440057	0,0349243	0,5776977	0,0669478	0,0089502	0,5847060	0,4313770	0,3631601	0,0216397	0,2619617	0,6400375	0,2103306	0,6989883	0,4253515	0,6864808	0,8085578	0,1168780
