"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE
20	0,4534903	0,3543165	0,2367743	0,3958725	0,4090557	0,9598135	0,1645156	0,4942426	0,9255442	0,6470526	0,5477546	1,0611319	0,2290875	0,5946560	0,7876640	0,8965058	0,7933214	0,8436397	0,6956254	0,1338960	0,2881172	0,2346365	0,8253801	0,2387453	0,8894056	0,8027205	0,6628174	0,8561148	0,1219669	0,0344605	0,2554239	0,2616686
40	0,4007283	0,3528167	0,2260689	0,3976764	0,4061553	0,8735551	0,1637963	0,3563560	0,9380627	0,5033680	0,5535720	1,0404002	0,2585438	0,5553221	0,8458590	0,8759615	0,7218247	0,9277158	0,7383484	0,1360110	0,3504428	0,3659506	0,8268107	0,3229933	0,7636500	0,8440489	0,6858502	0,8347989	0,1183041	0,0250380	0,2837257	0,1673225
60	0,4064546	0,3436222	0,2199047	0,4354468	0,3878891	0,8626522	0,1907474	0,2949975	0,8790697	0,3971223	0,5645324	0,9840065	0,3072839	0,5307119	0,8798933	0,8873261	0,7752902	0,9169124	0,7166505	0,1247110	0,3434735	0,4222377	0,8416657	0,4013784	0,7708231	0,8449415	0,7148652	0,8435063	0,0968111	0,0199450	0,2603741	0,1338326
80	0,4184846	0,3177235	0,2597336	0,3806313	0,4027057	0,8183575	0,1518755	0,2586523	0,8716016	0,3381148	0,5508508	1,0163550	0,3706197	0,5023458	0,9298201	0,8577420	0,7629546	0,9225150	0,7371142	0,1642872	0,3056599	0,5224935	0,8637485	0,4327520	0,7153007	0,8887991	0,6631693	0,8759838	0,0768909	0,0138616	0,2717933	0,1153204
100	0,4153410	0,2984760	0,2308450	0,4180960	0,3781500	0,8358076	0,1543462	0,2231657	0,8995332	0,2797279	0,5089669	0,9919394	0,3985514	0,5290612	0,9795497	0,8273158	0,7900835	0,9903880	0,7240969	0,1755570	0,3221243	0,5053850	0,8891481	0,4537066	0,6912569	0,8621819	0,6647024	0,8804155	0,0969598	0,0168026	0,2650395	0,1053682
120	0,3847648	0,2758286	0,2578638	0,4135921	0,3515086	0,8079131	0,1666600	0,2275206	0,9102996	0,2572634	0,5702135	1,0115860	0,3999176	0,5628213	0,9605620	0,8822024	0,7467494	1,0367811	0,7289762	0,2076854	0,3626286	0,5423008	0,9249159	0,4603487	0,6758839	0,8753553	0,6837056	0,8893771	0,0865204	0,0127246	0,2814416	0,0813597
140	0,3742202	0,2601204	0,2763733	0,4255459	0,3374084	0,7704527	0,1714474	0,2580865	0,9100150	0,2553621	0,5744676	0,9753934	0,4619477	0,6442702	0,9252218	0,8614783	0,7306448	1,0012313	0,7440349	0,2327318	0,3483950	0,5820104	0,9337035	0,4912445	0,6599893	0,9602333	0,7138828	0,9863423	0,0920240	0,0061960	0,2709235	0,0821245
160	0,3398890	0,2690361	0,2563781	0,3885868	0,2950581	0,7987215	0,1840199	0,2663048	0,9297916	0,2254525	0,5932174	0,9433295	0,4651692	0,6255479	0,8769895	0,8851108	0,7423139	0,9754458	0,7135450	0,2390863	0,3016513	0,5362253	0,9147303	0,5489120	0,5987322	0,8396010	0,7140567	0,9833028	0,1083538	0,0017476	0,2805302	0,0767850
180	0,3001326	0,2847982	0,2629916	0,3985895	0,3013604	0,8220084	0,1599715	0,2666336	0,9575850	0,2065397	0,5802947	0,9280341	0,4414713	0,6794629	0,8919886	0,8225594	0,7530939	0,9342725	0,6934820	0,2926003	0,3074416	0,5481869	0,9450580	0,5466301	0,5695754	0,8277732	0,6726885	0,9572542	0,1725772	0,0026136	0,2872071	0,0639838
200	0,3143733	0,3168023	0,3135935	0,3517821	0,2979975	0,8032751	0,1643051	0,2442083	0,9411789	0,1868540	0,5316238	1,0059215	0,5061207	0,6950890	0,9378005	0,8796445	0,7302836	0,9811483	0,6990466	0,3690444	0,2605063	0,5937668	0,8926205	0,5542255	0,5727026	0,8523334	0,6636023	0,9924058	0,2944122	0,0024727	0,2898027	0,0713157
220	0,3186243	0,2896046	0,2617822	0,3407610	0,3008214	0,8166246	0,1191540	0,2360126	0,9540911	0,2106554	0,4837054	0,9755406	0,5267155	0,6952183	0,9608009	0,8421617	0,7026949	0,9920090	0,7307520	0,3632795	0,2345960	0,5534216	0,8967326	0,5513312	0,6086215	0,8553465	0,6281983	1,0257780	0,4810558	0,0024023	0,2931388	0,0750782
