"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA
40	0,7665285	0,3816324	0,2292210	0,3780694	0,2033317	0,1834715	0,1760163	0,5354297	0,6202207	0,7576004	0,8731523	0,1793429	0,6828011	0,1771007	0,0830664	0,2612087	0,4660851	0,4931907	0,9419454	0,1166207	0,7808851	0,1501375	0,4954811	0,6462304	0,2011316	0,6509306	0,9638693	0,8698615	0,3145065	0,7885305	0,3794066	0,6491650
60	0,8136349	0,3832362	0,2243014	0,3295553	0,1953308	0,1780588	0,1760163	0,5354297	0,6047314	0,7907864	0,8769075	0,1861761	0,6706432	0,1772147	0,0830688	0,3213330	0,4724709	0,4883306	0,9412378	0,1160253	0,7809067	0,1452866	0,4711095	0,6524204	0,2218732	0,6049054	0,9632819	0,8603044	0,2593275	0,7775986	0,4597996	0,6885062
80	0,8534616	0,3857945	0,2163711	0,2917179	0,1918190	0,1706053	0,1760163	0,5354297	0,5966465	0,8158366	0,8818973	0,1964776	0,6623705	0,1773790	0,0830723	0,3770105	0,4821047	0,4837356	0,9403883	0,1151787	0,7809371	0,1379914	0,4482215	0,6611811	0,2394418	0,5727338	0,9625996	0,8418218	0,2088521	0,7598693	0,5385230	0,7195025
100	0,8844762	0,3889343	0,2063248	0,2660545	0,1913206	0,1628173	0,1760163	0,5354297	0,5942158	0,8332781	0,8871051	0,2085115	0,6574358	0,1775662	0,0830762	0,4244220	0,4934926	0,4810360	0,9398995	0,1142846	0,7809720	0,1293500	0,4282667	0,6709399	0,2532264	0,5505941	0,9623982	0,8148648	0,1666848	0,7379209	0,6092800	0,7420417
120	0,9075292	0,3922117	0,1952749	0,2509941	0,1920238	0,1560163	0,1760163	0,5354297	0,5949979	0,8447806	0,8918302	0,2205459	0,6548141	0,1777521	0,0830799	0,4629474	0,5051523	0,4806355	0,9401272	0,1135085	0,7810074	0,1204577	0,4115975	0,6804107	0,2636043	0,5364132	0,9631033	0,7820745	0,1334307	0,7148472	0,6697156	0,7576963
140	0,9241706	0,3952701	0,1841801	0,2440553	0,1928014	0,1508289	0,1760163	0,5354297	0,5970980	0,8520189	0,8957452	0,2313846	0,6536094	0,1779215	0,0830833	0,4934084	0,5160152	0,4821204	0,9411449	0,1129232	0,7810404	0,1121240	0,3980226	0,6888239	0,2712285	0,5286834	0,9648265	0,7471209	0,1082843	0,6929958	0,7196072	0,7682536
160	0,9359514	0,3978944	0,1737197	0,2428022	0,1932550	0,1472879	0,1760163	0,5354297	0,5993840	0,8563653	0,8987869	0,2404385	0,6531889	0,1780667	0,0830862	0,5171350	0,5254791	0,4847892	0,9428030	0,1125246	0,7810695	0,1048192	0,3871403	0,6958518	0,2767446	0,5259554	0,9674029	0,7135123	0,0898814	0,6736389	0,7597965	0,7752279
180	0,9441787	0,3999999	0,1642981	0,2451988	0,1934010	0,1450807	0,1760163	0,5354297	0,6013256	0,8588450	0,9010370	0,2475858	0,6531556	0,1781857	0,0830884	0,5354947	0,5333177	0,4879980	0,9448561	0,1122707	0,7810939	0,0987284	0,3785132	0,7014609	0,2806963	0,5268329	0,9705221	0,6838615	0,0767574	0,6571919	0,7915731	0,7797635
200	0,9498686	0,4015962	0,1560999	0,2496858	0,1933822	0,1437901	0,1760163	0,5354297	0,6027656	0,8601770	0,9026364	0,2529870	0,6532820	0,1782798	0,0830901	0,5496875	0,5395556	0,4912951	0,9470631	0,1121142	0,7811138	0,0938400	0,3717422	0,7057813	0,2835089	0,5300825	0,9738540	0,6596574	0,0675828	0,6435732	0,8163310	0,7826754
220	0,9537759	0,4027474	0,1491552	0,2551433	0,1933182	0,1430502	0,1760163	0,5354297	0,6037355	0,8608386	0,9037348	0,2569311	0,6534499	0,1783520	0,0830914	0,5606885	0,5443597	0,4944180	0,9492381	0,1120172	0,7811296	0,0900304	0,3664850	0,7090146	0,2855020	0,5347026	0,9771261	0,6413758	0,0612635	0,6324873	0,8353912	0,7845233
